event_id,lane_id,start_time_s,end_time_s,duration_s,max_vehicle_count,y_m,type,dataset_source,source_file,vehicle_id,min_acc_ms2
0,5,1113433822.7,1113433839.8,17.09999990463257,4.0,28.884684565404434,queue,ngsim_i-80_0400pm-0415pm,data\raw\ngsim\I-80\vehicle-trajectory-data\0400pm-0415pm\trajectories-0400-0415.csv,,
1,5,1113433890.5,1113433913.4,22.90000009536743,5.0,370.27529479759687,queue,ngsim_i-80_0400pm-0415pm,data\raw\ngsim\I-80\vehicle-trajectory-data\0400pm-0415pm\trajectories-0400-0415.csv,,
2,6,1113433689.0,1113433718.2,29.200000047683716,5.0,138.47024410380266,queue,ngsim_i-80_0400pm-0415pm,data\raw\ngsim\I-80\vehicle-trajectory-data\0400pm-0415pm\trajectories-0400-0415.csv,,
3,6,1113433790.5,1113433838.6,48.09999990463257,5.0,32.210342687370826,queue,ngsim_i-80_0400pm-0415pm,data\raw\ngsim\I-80\vehicle-trajectory-data\0400pm-0415pm\trajectories-0400-0415.csv,,
4,2,1113433390.1,1113433432.7,42.60000014305115,4.0,108.9424078700263,queue,ngsim_i-80_0400pm-0415pm,data\raw\ngsim\I-80\vehicle-trajectory-data\0400pm-0415pm\trajectories-0400-0415.csv,,
5,2,1113433744.1,1113433775.6,31.5,4.0,181.48526405672166,queue,ngsim_i-80_0400pm-0415pm,data\raw\ngsim\I-80\vehicle-trajectory-data\0400pm-0415pm\trajectories-0400-0415.csv,,
6,7,1113433842.8,1113433849.7,6.900000095367432,4.0,153.8562443749277,queue,ngsim_i-80_0400pm-0415pm,data\raw\ngsim\I-80\vehicle-trajectory-data\0400pm-0415pm\trajectories-0400-0415.csv,,
7,7,1113433936.7,1113433952.6,15.899999856948853,4.0,184.9882373330055,queue,ngsim_i-80_0400pm-0415pm,data\raw\ngsim\I-80\vehicle-trajectory-data\0400pm-0415pm\trajectories-0400-0415.csv,,
8,4,1113436876.8,1113436903.6,26.799999952316284,4.0,320.63681129895673,queue,ngsim_i-80_0500pm-0515pm,data\raw\ngsim\I-80\vehicle-trajectory-data\0500pm-0515pm\trajectories-0500-0515.csv,,
9,4,1113437205.3,1113437228.0,22.700000047683716,5.0,140.29582088359126,queue,ngsim_i-80_0500pm-0515pm,data\raw\ngsim\I-80\vehicle-trajectory-data\0500pm-0515pm\trajectories-0500-0515.csv,,
